Time,Alert
2026-06-22 12:57:29,Worker without Helmet
2026-06-22 12:57:38,Worker without Helmet
2026-06-22 12:57:44,Worker without Helmet
2026-06-22 12:57:50,Worker without Helmet
2026-06-22 12:57:56,Worker without Helmet
2026-06-22 12:58:02,Worker without Helmet
2026-06-22 12:58:08,Worker without Mask
2026-06-22 12:58:15,Worker without Mask
2026-06-22 12:58:21,Worker without Mask
2026-06-22 12:58:30,Worker without Mask
2026-06-22 12:58:39,Worker without Mask
2026-06-22 12:58:44,Worker without Mask
2026-06-22 12:58:51,Worker without Mask
2026-06-22 12:58:58,Worker without Mask
2026-06-22 12:59:03,Worker without Mask
2026-06-22 12:59:08,Worker without Mask
2026-06-22 12:59:15,Worker without Mask
2026-06-22 12:59:21,Worker without Mask
2026-06-22 12:59:30,Worker without Mask
2026-06-22 12:59:36,Worker without Mask
2026-06-22 12:59:42,Worker without Mask
2026-06-22 12:59:48,Worker without Helmet
2026-06-22 12:59:55,Worker without Helmet
2026-06-22 13:00:01,Worker without Helmet
2026-06-22 13:00:07,Worker without Helmet
2026-06-22 13:00:14,Worker without Helmet
2026-06-22 13:00:19,Worker without Helmet
2026-06-22 13:00:26,Worker without Helmet
2026-06-22 13:00:33,Worker without Safety Vest
2026-06-22 13:00:38,Worker without Helmet
2026-06-22 13:00:44,Worker without Helmet
2026-06-22 13:00:49,Worker without Helmet
2026-06-22 13:00:55,Worker without Helmet
2026-06-22 13:01:02,Worker without Helmet
2026-06-22 13:01:07,Worker without Helmet
2026-06-22 13:01:14,Worker without Helmet
2026-06-22 13:01:25,Worker without Mask
2026-06-22 13:01:32,Worker without Mask
2026-06-22 13:01:39,Worker without Mask
2026-06-22 13:01:47,Worker without Mask
2026-06-22 13:01:54,Worker without Mask
2026-06-22 13:02:02,Worker without Mask
2026-06-22 13:02:07,Worker without Helmet
2026-06-22 13:02:12,Worker without Mask
2026-06-22 13:02:18,Worker without Helmet
2026-06-22 13:02:24,Worker without Mask
2026-06-22 13:02:30,Worker without Helmet
2026-06-22 13:02:38,Worker without Helmet
2026-06-22 13:02:44,Worker without Helmet
2026-06-22 13:02:50,Worker without Helmet
2026-06-22 13:02:57,Worker without Helmet
2026-06-22 13:03:06,Worker without Mask
2026-06-22 13:03:12,Worker without Mask
2026-06-22 13:03:18,Worker without Mask
2026-06-22 13:03:23,Worker without Mask
2026-06-22 13:03:28,Worker without Helmet
